sku,linked_sku
"24-MB01","24-WG086
24-WG083
24-UG01
24-WG085_Group"
"24-MB02","24-UG02
24-UG03
24-UG04
24-UG05"
"24-MB03","24-UG06
24-WG084
24-WG087
24-UG02"
"24-MB04","24-UG03
24-UG05
24-WG080
24-UG04"
"24-MB05","24-UG04
24-WG088
24-WG087
24-WG081"
"24-MB06","24-UG07
24-WG087
24-WG080
24-WG085_Group"
"24-UB02","24-WG088
24-WG085_Group
24-WG06
24-UG02"
"24-WB01","24-UG07
24-WG082
24-WG087
24-WG085_Group"
"24-WB02","24-WG088
24-UG01
24-WG084
24-WG082"
"24-WB03","24-UG03
24-WG084
24-WG087
24-WG085"
"24-WB04","24-WG082
24-UG05
24-UG02
24-WG06"
"24-WB05","24-WG085
24-WG088
24-WG082
24-WG087"
"24-WB06","24-WG084
24-WG085_Group
24-WG083
24-UG02"
"24-WB07","24-WG085_Group
24-WG083
24-WG06
24-UG02"
"24-UG01","24-WG081
24-UG06
24-WG080
24-WG088"
"24-UG02","24-UG01
24-WG086
24-WG085
24-WG085_Group"
"24-UG03","24-UG04
24-WG080
24-UG01
24-WG085_Group"
"24-UG04","24-WG082
24-UG01
24-WG088
24-UG03"
"24-UG05","24-UG01
24-WG084
24-WG086
24-WG080"
"24-UG06","24-WG080
24-WG087
24-UG07
24-UG03"
"24-UG07","24-WG081
24-WG085
24-WG082
24-WG088"
"24-WG06","24-WG086
24-WG088
24-WG084
24-WG087"
"24-WG081","24-WG085_Group
24-WG088
24-WG086
24-UG05"
"24-WG082","24-WG06
24-WG084
24-UG02
24-WG086"
"24-WG083","24-WG088
24-WG082
24-WG086
24-WG084"
"24-WG084","24-WG083
24-WG081
24-WG080
24-UG03"
"24-WG085","24-WG081
24-WG085_Group
24-WG06
24-UG07"
"24-WG086","24-WG084
24-UG06
24-UG02
24-WG080"
"24-WG087","24-WG080
24-WG085
24-WG081
24-UG01"
"24-WG088","24-UG03
24-UG01
24-WG085_Group
24-WG06"
