Invalid attribute type,Ugyldig egenskabstype
No,Nej
Wrong entity ID,Forkert enheds-id
Unknown parameter,Ukendt parameter
Frontend label is not defined,Frontend label ikke defineret
Invalid data object key,Ugyldig nøgle for dataobjekt
Default option value is not defined,Standardværdi skal angives
Data integrity: No header row found for attribute,Data-integritet: Hovedrække blev ikke fundet for egenskaben
Invalid condition,Ugyldig betingelse
Valid store_id is expected!,Angiv venligst gyldigt shop-id!
Invalid entity supplied,Ugyldig enhed
Wrong attribute group ID,Forkert id for egenskabsgruppe
Wrong attribute set ID,Forket id for sæt af egenskaber
Invalid store id supplied,Ugyldigt shop-id
"Invalid alias, already exists in joined attributes","Ugyldigt alias, eksisterer allerede"
"Value of attribute ""%s"" must be unique","Værdien for egenskab ""%s"" skal være unik"
Invalid foreign key,Ugyldig fremmednøgle
Invalid character encountered in increment ID: %s,Ugyldig karakter fundet i id: %s
Invalid entity type,Ugyldig enhedstype
Attribute with the same code,Egenskab med samme kode
Attempt to add an invalid object,Forsøg på at tilføje et ugyldigt objekt
Invalid attribute requested: %s,Ugyldig egenskab: %s
Invalid object supplied,Ugyldigt objekt
Joined field with this alias is already declared,Alias er allerede brug
Entity's object is not initialized,Enheden er ikke initialiseret
Wrong attribute ID,Forkert egenskabs-id
Invalid attribute name: %s,Ugyldigt egenskabsnavn: %s
No connection available,Kunne ikke få forbindelse
Yes,Ja
Entity is not initialized,Enhed kunne ikke initialiseres
Invalid entity type %s,Ugyldig enhedstype %s
No options root node found,Der blev ikke fundet en rodværdi for valgmuligheder
"Entity collection expected","Enhedsliste (entity collection) blev forventet"
"Entity collections expected","Enhedslister (entity collections) blev forventet"
"Invalid entity specified","Ugyldig enhed"
"Invalid entity supplied: %s","Ugyldig enhed: %s"
"Invalid entity_id, skipping the record","Ugyldigt enheds-ID, posten springes over..."
"Invalid entity_type specified: %","Ugyldig enhedstype: %"
"Invalid entity_type specified: %s","Ugyldig enhedstype: %s"
"Invalid joined fields","Ugyldige join-felter"
"Invalid store specified","Ugyldig forretning"
"Joined field or attribute expression with this alias is already declared","Join-felt eller egenskab med dette alias eksisterer allerede"
"Joined field with this alias (%s) is already declared","Join-felt med alias "%s" findes allerede"
"Loaded ","Indl紴 "
"Problem loading a record, aborting. Error: %s","Posten kunne ikke indl紥s, afbryder. Fejl: %s"
"Problem loading the collection, aborting. Error: %s","Kunne ikke indl紥 listen, afbryder. Fejl: %s"
"Problem saving a record, aborting. Error: ","Posten kunne ikke gemmes, afbryder. Fejl: "
"Problem saving the collection, aborting. Error: %s","Kunne ikke gemme listen, afbryder. Fejl: %s"
"Saved ","Gemt "
