"Active","Active"
"Add Rule","Add Rule"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Applies To","Applies To"
"Apply To","Apply To"
"Based on your selection, you may be interested in the following items:","Based on your selection, you may be interested in the following items:"
"Both Selected and Rule-Based","Both Selected and Rule-Based"
"Check items to add to the cart or","Check items to add to the cart or"
"Close","Close"
"Conditions","Conditions"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Conditions Combination","Conditions Combination"
"Constant Value","Constant Value"
"Cross-sells","Cross-sells"
"Customer Segments","Customer Segments"
"Date Ends","Date Ends"
"Date Starts","Date Starts"
"Delete Rule","Delete Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"From Date","From Date"
"General Information","General Information"
"ID","ID"
"Inactive","Inactive"
"Invalid product list type","Invalid product list type"
"Manage Target Rules","Manage Target Rules"
"Matched Product %s","Matched Product %s"
"Maximum Number of Products in Cross-Sell Product List","Maximum Number of Products in Cross-Sell Product List"
"Maximum Number of Products in Related Products List","Maximum Number of Products in Related Products List"
"Maximum Number of Products in Upsell Product List","Maximum Number of Products in Upsell Product List"
"Maximum Number of Products that can be matched by this Rule. Capped to 20.","Maximum Number of Products that can be matched by this Rule. Capped to 20."
"New Rule","New Rule"
"Please choose a condition to add...","Please choose a condition to add..."
"Please define product data object","Please define product data object"
"Position Behavior","Position Behavior"
"Price (percentage)","Price (percentage)"
"Priority","Priority"
"Product Attributes","Product Attributes"
"Product Special","Product Special"
"Product list type identifier does not defined","Product list type identifier does not defined"
"Related Products","Related Products"
"Result Limit","Result Limit"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Rule was successfully deleted","Rule was successfully deleted"
"Rule was successfully saved","Rule was successfully saved"
"Rule-Based Only","Rule-Based Only"
"Rule-based Positions","Rule-based Positions"
"Rule-based Settings","Rule-based Settings"
"Save Rule","Save Rule"
"Save and Continue Edit","Save and Continue Edit"
"Selected Only","Selected Only"
"Show Cross-Sell Products","Show Cross-Sell Products"
"Show Related Products","Show Related Products"
"Show Upsell Products","Show Upsell Products"
"Status","Status"
"Target Product ","Target Product "
"Target Product Rules","Target Product Rules"
"Target Rules","Target Rules"
"Targeted Product Conditions","Targeted Product Conditions"
"Targeted Product Rule","Targeted Product Rule"
"Targeted Product Rules","Targeted Product Rules"
"Targeted Products","Targeted Products"
"This rule no longer exists","This rule no longer exists"
"To Date","To Date"
"Unable to find a page to delete","Unable to find a page to delete"
"Undefined Catalog Product List Type","Undefined Catalog Product List Type"
"Up-sells","Up-sells"
"Use Config Settings","Use Config Settings"
"Use Customer Segment","Use Customer Segment"
"Use for Target Rule Conditions","Use for Target Rule Conditions"
"Wrong rule specified.","Wrong rule specified."
"You may also be interested in the following product(s)","You may also be interested in the following product(s)"
"[GLOBAL]","[GLOBAL]"
"equal to","equal to"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"less","less"
"more","more"
"select all","select all"
"the Child of the Matched Product Categories","the Child of the Matched Product Categories"
"the Same as Matched Product Categories","the Same as Matched Product Categories"
"unselect all","unselect all"
