"Account Number","Account Number"
"Authorize","Authorize"
"Card Verification Number","Card Verification Number"
"Credit Card Number","Credit Card Number"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Credit Card Type","Credit Card Type"
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Debug Flag","Debug Flag"
"Demo Mode","Demo Mode"
"Enabled","Enabled"
"Error in refunding the payment.","Error in refunding the payment."
"Expiration Date","Expiration Date"
"Flo2Cash Payment Web Service","Flo2Cash Payment Web Service"
"For ""Authorize"" or ""Capture"" transactions only.","For ""Authorize"" or ""Capture"" transactions only."
"For ""Purchase"" transactions only.","For ""Purchase"" transactions only."
"Gateway returned an error message: %s","Gateway returned an error message: %s"
"Name on Card","Name on Card"
"Name on the Card: %s","Name on the Card: %s"
"New Order Status","New Order Status"
"Password","Password"
"Payment Action","Payment Action"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment transaction has been declined.","Payment transaction has been declined."
"Please Select","Please Select"
"Purchase","Purchase"
"Selected currency code (%s) is not compatible with Flo2Cash","Selected currency code (%s) is not compatible with Flo2Cash"
"Sort Order","Sort Order"
"Title","Title"
"Username","Username"
"What is this?","What is this?"
