"%s is required.","%s is required."
"Action","Action"
"Add Catalog Event","Add Catalog Event"
"Add Event...","Add Event..."
"Back to Category","Back to Category"
"Block Custom Width","Block Custom Width"
"Catalog Event Information","Catalog Event Information"
"Catalog Events","Catalog Events"
"Catalog Events Carousel","Catalog Events Carousel"
"Catalog Events Carousel Default Template","Catalog Events Carousel Default Template"
"Categories","Categories"
"Category","Category"
"Category ID","Category ID"
"Category Page","Category Page"
"Closed","Closed"
"Coming Soon","Coming Soon"
"Default Value. Override in CMS using limit=""x"" Variable. If empty, there will be no Limitation.","Default Value. Override in CMS using limit=""x"" Variable. If empty, there will be no Limitation."
"Default Value. Override in CMS using scroll=""x"" Variable.","Default Value. Override in CMS using scroll=""x"" Variable."
"Default Values","Default Values"
"Display Countdown Ticker On","Display Countdown Ticker On"
"Edit","Edit"
"Edit Catalog Event","Edit Catalog Event"
"Edit Event...","Edit Event..."
"Enable Catalog Event Widget","Enable Catalog Event Widget"
"Enable Catalog Events Functionality","Enable Catalog Events Functionality"
"End Date","End Date"
"End Date should be greater than Start Date","End Date should be greater than Start Date"
"Ends On","Ends On"
"Event for selected category","Event for selected category"
"Event was successfully deleted.","Event was successfully deleted."
"Event was successfully saved.","Event was successfully saved."
"Events","Events"
"Events to scroll per click in Event Slider Widget","Events to scroll per click in Event Slider Widget"
"Frame Size","Frame Size"
"Go To Sale","Go To Sale"
"ID","ID"
"Image","Image"
"Image was not uploaded","Image was not uploaded"
"List all open Catalog Events as a Paginated Carousel","List all open Catalog Events as a Paginated Carousel"
"Lister Block","Lister Block"
"Manage Catalog Events","Manage Catalog Events"
"Number of Events to be displayed in Event Slider Widget","Number of Events to be displayed in Event Slider Widget"
"Number of Items to display at once","Number of Items to display at once"
"Number of Items to scroll per click","Number of Items to scroll per click"
"Open","Open"
"Preview Sale","Preview Sale"
"Product Page","Product Page"
"Sale Ends In","Sale Ends In"
"Sale was closed for this product","Sale was closed for this product"
"Save And Continue Edit","Save And Continue Edit"
"Scroll","Scroll"
"Select Category","Select Category"
"Some products are not salable anymore","Some products are not salable anymore"
"Sort Order","Sort Order"
"Start Date","Start Date"
"Starts On","Starts On"
"Status","Status"
"Upcoming","Upcoming"
"Use Default Value","Use Default Value"
"View Sale","View Sale"
"Width in Pixels. If empty, will be determined automatically","Width in Pixels. If empty, will be determined automatically"
