"(Make sure you keep it in a safe place.)","(Убедитесь, что Вы храните его в безопасном месте.)"
"(ver. %s)","(ver. %s)"
"Base Path","Основной путь"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Прежде чем Вы продолжите работу с магазином, пожалуйста, запишите или запомните Ваш ключ шифрования (Мадженто использует его для шифрования паролей, номеров кредитных карточек и т.д.)."
"Check out our","Прочитайте наше"
"Check this box only if you are unable to automatically validate Magento URL, for example if HTTP authentication is required.","Отметьте данный бокс только если Вы не можете автоматически проверить URL адрес мадженто, например если требуется HTTP аутентификация."
Configuration,Настройки
"Configuration options",Настройки
"Confirm Password","Подтвердить пароль"
Connection,Подключение
Continue,Продолжить
"Create Admin Account","Создание админа"
"Database Connection","Подключение к базе данных"
"Database connection error","Ошибка соединения с базой данных"
"Database host","Хост базы данных"
"Database Name","Название базы данных"
"Database user name","Имя пользователя базы данных"
"Database user password","Пароль базы данных"
"Default Currency","Валюта по умолчанию"
"Default store","Настройки магазина"
Email,"Email адрес"
"Email Address","Email адрес"
"Encryption Key","Ключ шифрования"
"First Name",Имя
"For HTTP connections, the default port is 80.","Для HTTP подключений, порт по умолчанию 80."
"For HTTPS connections, the default port is 443.","Для HTTPS подключений, порт по умолчанию 443."
"Get ready to experience Open-Source eCommerce Evolved.","Интернет-магазин мадженто успешно установлен."
"Go to Backend","Перейти в админку"
"Go to Frontend","Перейти в каталог"
"Having trouble installing Magento?","Проблемы при установке Мадженто?"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
Host,Хост
"Host name",Сервер
"I agree to the above terms and conditions","Я согласен с условиями использования"
Installation,Установка
"Installation Guide","Руководство по установке"
"Last Name",Фамилия
Locale,Язык
"Locale settings","Локальные настройки"
Localization,Локализация
"Login Information","Информация для входа"
Magento,Magento
"Magento Installation Wizard","Magento Installation Wizard"
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encription key for you and will display it on the next page.","Мадженто использует этот ключ для шифрования паролей, номеров кредитных карточек и т.д. Если данное поле останется не заполненным, система создаст ключ шифрования автоматически и он будет показан на следующей странице."
"Magento&trade; is a registered Trademark of Irubin Consulting Inc. DBA Varien. &copy; Copyright 2007","Magento&trade; is a registered Trademark of Irubin Consulting Inc. DBA Varien. &copy; Copyright 2007"
"One from PHP Extensions ""%s"" must be loaded","Должна быть установлена php библиотека ""%s"""
Password,Пароль
"Password Confirmation","Подтверждение пароля"
"Path ""%s"" must be writable","Путь ""%s"" должен быть доступен на запись"
"Personal Information","Персональная информация"
"PHP Extension ""%s"" must be loaded","Должна быть установлена php библиотека ""%s"""
"PHP Extension '%s' loaded","PHP библиотека '%s' загружена"
"Please set all required settings before clicking Continue","Пожалуйста, выполните необходимые настройки, прежде чем нажимать продолжить"
Port,Порт
Protocol,Протокол
"Report All Bugs","Report All Bugs"
"Required Fields","Обязательные поля"
"Secure Base Path","Основной путь для безопасного соединения"
"Secure Connection","Безопасное подключение"
"Secure Host","Безопасный хост"
"Secure host name","Название безоспасного хоста"
"Secure Port","Безопасный порт"
"Secure Protocol","Безопасный протокол"
"Secure www base path","Основной путь для безопасного соединения"
"Skip to Main Content","Skip to Main Content"
"Skip URL validation","Пропустить проверку URL адреса"
"This Url is invalid","Данный Url адрес неправильный"
"Time Zone","Часовой пояс"
"Url ""%s"" is invalid","Url адрес ""%s"" неправильный"
"Url ""%s"" is not accessible","Url адрес ""%s"" недоступен"
"User Name","Имя пользователя"
"User Password","Пароль пользователя"
Username,"Имя пользователя"
"Welcome to Magento's Installation Wizard","Добро пожаловать в мастер установки Мадженто"
"WWW base path","Основной WWW путь"
"You can specify server port, ex.: localhost:3307<br/>If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","You can specify server port, ex.: localhost:3307<br/>If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock"
"You're All Set","You're All Set"
