"Credit Memo","Credit Memo"
"My Orders","My Orders"
"Store Credit","Store Credit"
"Sent","Sent"
"There's not enough qty of product '%s' in invoice to return","There's not enough qty of product '%s' in invoice to return"
"Returned","Returned"
"Order Details","Order Details"
"Unknown invoice type","Unknown invoice type"
"Backordered","Backordered"
"Discount","Discount"
"American Express","American Express"
"Visa","Visa"
"Pending","Pending"
"Subtotal","Subtotal"
"Unknown Status","Unknown Status"
"Errors during order creation","Errors during order creation"
"Grand Total","Grand Total"
"Payed","Payed"
"Shipped","Shipped"
"Master Card","Master Card"
"Mixed","Mixed"
"Partial","Partial"
"Order Invoices","Order Invoices"
"Unknown Type","Unknown Type"
"Shipping & Handling","Shipping & Handling"
"Tax","Tax"
"Discover","Discover"
"There's not enough qty of product '%s' in order to ship","There's not enough qty of product '%s' in order to ship"
"Canceled","Canceled"
"Invoice","Invoice"
"Order #%s - %s","Order #%s - <small><em>%s</em></small>"
"Shipping Amount","Shipping Amount"
"Ship to","Ship to"
"My Orders","My Orders"
"View Order","View Order"
"Price","Price"
"Billing Address","Billing Address"
"Order Date: %s","<p><strong>Order Date:</strong> %s</p>"
"Print All Invoices","Print All Invoices"
"Order Total","Order Total"
"Status","Status"
"Payment Method","Payment Method"
"Track Order","Track Order"
"View All","View All"
"Recent Orders","Recent Orders"
"Shipping Method","Shipping Method"
"Date","Date"
"Qty Ordered","Qty Ordered"
"My Orders - Details","My Orders - Details"
"About Your Order","About Your Order"
"Product Name","Product Name"
"Tax Amount","Tax Amount"
"Grand Total","Grand Total"
"Invoice #%s","Invoice #%s"
"Items Ordered","Items Ordered"
"Order #","Order #"
"Order Status","Order Status"
"View Invoices","View Invoices"
"Order #%s","Order #%s"
"You have placed no orders.","You have placed no orders."
"Subtotal","Subtotal"
"Qty Shipped","Qty Shipped"
"Order Subtotal","Order Subtotal"
"Print Invoice","Print Invoice"
"Back to My Orders","Back to My Orders"
"Shipping Address","Shipping Address"
