"Sales","Sales"
"Orders","Orders"
"Invoices","Invoices"
"Tax","Tax"
"Manage Tax Rules","Manage Tax Rules"
"Manage Tax Rates","Manage Tax Rates"
"Import / Export Tax Rates","Import / Export Tax Rates"
"Customer Tax Classes","Customer Tax Classes"
"Product Tax Classes","Product Tax Classes"
"Configuration","Configuration"
"Catalog","Catalog"
"Manage Products","Manage Products"
"Manage Categories","Manage Categories"
"Attributes","Attributes"
"Manage Attributes","Manage Attributes"
"Manage Attribute Sets","Manage Attribute Sets"
"Reviews &amp; Ratings","Reviews &amp; Ratings"
"Customer Reviews","Customer Reviews"
"Pending Reviews","Pending Reviews"
"All Reviews","All Reviews"
"Manage Ratings","Manage Ratings"
"Tags","Tags"
"Pending Tags","Pending Tags"
"All Tags","All Tags"
"Customers' Tags","Customers' Tags"
"Products' Tags","Products' Tags"
"Search","Search"
"Datafeeds","Datafeeds"
"Dashboard","Dashboard"
"Customers","Customers"
"Manage Customers","Manage Customers"
"Customer Groups","Customer Groups"
"Online Customers","Online Customers"
"Promotions","Promotions"
"Catalog Price Rules","Catalog Price Rules"
"Shopping Cart Price Rules","Shopping Cart Price Rules"
"CMS","CMS"
"Manage Pages","Manage Pages"
"Static Blocks","Static Blocks"
"Poll Manager","Poll Manager"
"Newsletter","Newsletter"
"Newsletter Templates","Newsletter Templates"
"Subscribers","Subscribers"
"Newsletter Queue","Newsletter Queue"
"Newsletter Problem Reports","Newsletter Problem Reports"
"Reports","Reports"
"Sales Report","Sales Report"
"Shopping Cart Report","Shopping Cart Report"
"Products","Products"
"Products Report","Products Report"
"Coupons Reports","Coupons Reports"
"Wishlist Report","Wishlist Report"
"Reviews Report","Reviews Report"
"Customers Reviews","Customers Reviews"
"Products Reviews","Products Reviews"
"Tags Report","Tags Report"
"Products (Total)","Products (Total)"
"Popular","Popular"
"Search Report","Search Report"
"Best Customers","Best Customers"
"Recent Orders","Recent Orders"
"Order Totals","Order Totals"
"System","System"
"My Account","My Account"
"Tools","Tools"
"Backups","Backups"
"Manage Currency","Manage Currency"
"Transactional Emails","Transactional Emails"
"Permissions","Permissions"
"Users","Users"
"Roles","Roles"
"Invoice Information","Invoice Information"
"Store Name","Store Name"
"Create Backup","Create Backup"
"Title","Title"
"Add New User","Add New User"
"Unknown","Unknown"
"View Order","View Order"
"Number of Unique Tags","Number of Unique Tags"
"State/Province","State/Province"
"Coupons Reports","Coupons Reports"
"No Newsletter Found","No Newsletter Found"
"Session Start Time","Session Start Time"
"Edit Queue","Edit Queue"
"Edit Review '%s'","Edit Review '%s'"
"Comparable","Comparable"
"Number of Reviews","Number of Reviews"
"Block Title","Block Title"
"Recent Orders","Recent Orders"
"Add New","Add New"
"Add New Image","Add New Image"
"Unable to find a user to delete","Unable to find a user to delete"
"Related Products","Related Products"
"Items in Cart","Items in Cart"
"This user no longer exists","This user no longer exists"
"Shipping Method","Shipping Method"
"Customers Reviews","Customers Reviews"
"Signed Up From","Signed Up From"
"Cancel Order","Cancel Order"
"Can be used only with catalog input type Dropdown","Can be used only with catalog input type Dropdown"
"Roles","Roles"
"Error while deleting this rate. Please try again later.","Error while deleting this rate. Please try again later."
"Save Account","Save Account"
"Shopcart Products","Shopcart Products"
"Catalog Price Rules","Catalog Price Rules"
"Addresses","Addresses"
"Products Reviews","Products Reviews"
"Number Purchased","Number Purchased"
"Rule Name","Rule Name"
"You cannot delete this attribute","You cannot delete this attribute"
"List only","List only"
"Last Modified","Last Modified"
"Reset Filter","Reset Filter"
