"Yes, for Specified Customer Groups","Ja, voor gespecificeerde klantengroepen"
"Yes, for Everyone","Ja, voor iedereen"
No,Nee
Action,Action
"Add to Cart","Voeg toe aan winkelwagen"
"-- Please Select --","-- Please Select --"
Website,Website
"All Websites","All Websites"
"Customer Group","Customer Group"
"New Permission","Nieuwe toestemming"
"You already have a permission with this scope.","You already have a permission with this scope."
(Allow),(toestaan)
(Deny),(weiger)
"Category Permissions","Categorie toestemmingen"
"Browsing Category","Categorie doorbladeren"
"Display Product Prices","Geef productprijzen weer"
"No, Redirect to Landing Page","Nee, stuur door naar landingspagina"
"You may need more permissions to access this category.","You may need more permissions to access this category."
"You cannot add ""%1"" to the cart.","You cannot add ""%1"" to the cart."
"You may need more permissions to access this product.","You may need more permissions to access this product."
"Permission with the same scope","Toestemming op hetzelfde bereik"
"Permissions do not depend on store views.","Permissions do not depend on store views."
"All Customer Groups","All Customer Groups"
Allow,Allow
Deny,Deny
"Use parent","Use parent"
"Catalog Category Permissions","Catalog Category Permissions"
"Indexed permissions for categories","Indexed permissions for categories"
"Catalog Product Permissions","Catalog Product Permissions"
"Indexed permissions for products","Indexed permissions for products"
